problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f007_i01_d02,2,3,obl,gwo,92.94,94.62349805255674,1000,1.6834980525567431,0.007019519805908203,2.665001630783081
bbob_f007_i01_d02,2,3,obl,egwo,92.94,164.85485886863648,1000,71.91485886863649,0.007019519805908203,1.104278326034546
bbob_f007_i01_d02,2,3,oblesa_ess,ga,92.94,93.54091559010935,1000,0.6009155901093521,0.9768483638763428,3.4387166500091553
bbob_f007_i01_d02,2,3,oblesa_ess,de,92.94,92.9400000342727,269,3.427270200972998e-08,0.9768483638763428,0.4225282669067383
bbob_f007_i01_d02,2,3,oblesa_ess,pso,92.94,92.94000007358704,26,7.358704579019104e-08,0.9768483638763428,0.031734466552734375
bbob_f007_i01_d02,2,3,oblesa_ess,gwo,92.94,94.62349805255674,1000,1.6834980525567431,0.9768483638763428,2.622756242752075
bbob_f007_i01_d02,2,3,oblesa_ess,egwo,92.94,92.94000002554426,17,2.5544267145960475e-08,0.9768483638763428,0.015601873397827148
bbob_f007_i01_d02,2,3,oblesa_lhs,ga,92.94,93.54091559010935,1000,0.6009155901093521,0.30304861068725586,3.495124578475952
bbob_f007_i01_d02,2,3,oblesa_lhs,de,92.94,92.94000003024448,774,3.024447892130411e-08,0.30304861068725586,1.2240290641784668
bbob_f007_i01_d02,2,3,oblesa_lhs,pso,92.94,92.94000000480314,28,4.8031409960458404e-09,0.30304861068725586,0.02811741828918457
bbob_f007_i01_d02,2,3,oblesa_lhs,gwo,92.94,92.96500193397974,1000,0.0250019339797376,0.30304861068725586,2.586200714111328
bbob_f007_i01_d02,2,3,oblesa_lhs,egwo,92.94,92.94000008240913,17,8.240913018653373e-08,0.30304861068725586,0.01969146728515625
bbob_f007_i01_d02,2,3,oblesa_sobol,ga,92.94,92.9460091559011,1000,0.006009155901097074,0.007002353668212891,3.742011070251465
bbob_f007_i01_d02,2,3,oblesa_sobol,de,92.94,92.94000005278598,234,5.2785978255087684e-08,0.007002353668212891,0.44672608375549316
bbob_f007_i01_d02,2,3,oblesa_sobol,pso,92.94,92.94000005168256,9,5.168256222987111e-08,0.007002353668212891,0.00917363166809082
bbob_f007_i01_d02,2,3,oblesa_sobol,gwo,92.94,92.94000003802711,6,3.8027110349503346e-08,0.007002353668212891,0.01642584800720215
bbob_f007_i01_d02,2,3,oblesa_sobol,egwo,92.94,92.94000008807589,6,8.807589324533183e-08,0.007002353668212891,0.007001399993896484
bbob_f007_i01_d02,2,3,oblesa_sobol,ga,92.94,92.9460091559011,1000,0.006009155901097074,0.006184101104736328,3.5539088249206543
